Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Last Kiss","Pearl Jam","Last Kiss","Sugarrr","Playlist","USSM19805513","0QnONzv3TvHAWk294h6DaQ"
"Black","Pearl Jam","Ten","Sugarrr","Playlist","USSM19100412","5Xak5fmy089t0FYmh3VJiY"
"Scar Tissue","Red Hot Chili Peppers","Californication (Deluxe Edition)","Sugarrr","Playlist","USWB19900674","1G391cbiT3v3Cywg8T7DM1"
"Alive","Pearl Jam","Ten","Sugarrr","Playlist","USSM19100003","1L94M3KIu7QluZe63g64rv"
"Come As You Are - Live","Nirvana","MTV Unplugged In New York","Sugarrr","Playlist","USGF19972702","3sYWyVGfPuit80szWXhrRA"
"Under the Bridge","Red Hot Chili Peppers","Blood Sugar Sex Magik (Deluxe Edition)","Sugarrr","Playlist","USWB19901576","3d9DChrdc6BOeFsbrZ3Is0"
"Wonderwall - Remastered","Oasis","(What's The Story) Morning Glory? [Remastered]","Sugarrr","Playlist","GBQCP1400109","5qqabIl2vWzo9ApSC317sa"
"Good Riddance (Time of Your Life)","Green Day","Nimrod","Sugarrr","Playlist","USRE19700545","6ORqU0bHbVCRjXm9AjyHyZ"
"Scar Tissue","Red Hot Chili Peppers","Californication (Deluxe Edition)","Sugarrr","Playlist","USWB19900674","1G391cbiT3v3Cywg8T7DM1"
"Everlong - Acoustic Version","Foo Fighters","Greatest Hits","Sugarrr","Playlist","USRW30900002","3QmesrvdbPjwf7i40nht1D"
"Wish You Were Here","Pink Floyd","Wish You Were Here","Sugarrr","Playlist","GBN9Y1100088","6mFkJmJqdDVQ1REhVfGgd1"
"Snow (Hey Oh)","Red Hot Chili Peppers","Stadium Arcadium","Sugarrr","Playlist","USWB10601591","2aibwv5hGXSgw7Yru8IYTO"
"Be Yourself","Audioslave","Out of Exile","Sugarrr","Playlist","USIR10500509","3zwmW1gM4E8FlHXV5nE16u"
"Like a Stone","Audioslave","Audioslave","Sugarrr","Playlist","USSM10211587","2xt2piJx6jlFkjS77YiqpL"
"Comfortably Numb","Pink Floyd","The Wall","Sugarrr","Playlist","GBN9Y1100113","5HNCy40Ni5BZJFw1TKzRsC"
"Stairway to Heaven - Remaster","Led Zeppelin","Led Zeppelin IV (Deluxe Edition)","Sugarrr","Playlist","USAT21300959","5CQ30WqJwcep0pYcV4AMNc"
"Nothing Else Matters","Metallica","Metallica","Sugarrr","Playlist","GBF089190020","0nLiqZ6A27jJri2VCalIUs"
"Soldier of Love","Pearl Jam","Last Kiss","Sugarrr","Playlist","USSM19805514","0ll4shInilQVdYVrVVHpjB"
"The Unforgiven","Metallica","Metallica","Sugarrr","Playlist","GBF089190016","4aYLAF6ckQ5ooGGGM7sWAa"
"Dust in the Wind","Kansas","Point Of Know Return (Expanded Edition)","Sugarrr","Playlist","USSM10103196","6zeE5tKyr8Nu882DQhhSQI"
"Have You Ever Seen The Rain","Creedence Clearwater Revival","Pendulum (Expanded Edition)","Sugarrr","Playlist","USC4R0817643","2LawezPeJhN4AWuSB0GtAU"
"Don't Cry (Original)","Guns N' Roses","Use Your Illusion I","Sugarrr","Playlist","USGF19141504","2N2yrmodOnVF10mKvItC9P"
